Niemir;Potasiewicz;Bielsko-Biała;ul. Jaskółcza;77021210321;259;43-600;702-842-71-610;553 737-738-604;Karol;socarol3viby8ikanysiviluwyzuqoxihugikasony0us;657BE786C900386237450771FB818A9D;1
Leonard;Zammerfeld;Niemiecka Wieś;ul. Obrońców Helu;92050922667;160;42-100;406-455-47-12;+584 661-964-848;Burchard;caxapifup5vazige7ihonitynotibubyruqyj9xury;D5E4DAA216EF01A47F584CB68535CB8F;1
Goliat;Potażek;Katowice;ul. Krzywa;71121503354;130;27-350;386-194-61-710;449 711347622;Ziemowit;keq1mi4ym7luhocyx;8A42A7B8C0D5701F900E8AAC6A651DCE;1
Filip;Żebrakowski;Ruda śląska;ul. Kościuszki Tadeusza;85011517231;112;86-010;881-851-24-51;+215 188-240-270;Julian;mevamigeb3nukaretalodetototur8gagosuz9;6D530C185831285944682646C6D955E1;1
Chrystian;Malejonek;Gnatowo;ul. Mylna;80062617343;163;05-802;972-763-79-11;693456585;Innocenty;hylezoca6urekarewezaq69ej;2E075BFAF68483FC0166824BC4549DEE;1
Odyseusz;Mirułowski;Rudziska;ul. Junaków;86032214242;236;36-245;519-235-38-36;+637 725 499 943;Eberhard;tijekus6b1ryle2isow;33980C5CC4AEBF4476DE86A049A80E5F;1
Bertrand;Łędzich;Rzeszów;ul. Orzeszkowej Elizy;71061416064;30;38-441;701-85-93-565;+897 280392406;Alf;toxuwakohubikucy1ofefepib1mipy9y;7A883FDA71F4B2968D478B7998B880D5;1
Wierzchosław;Badziński;Wierzyki;ul. Czołowa;82072513620;82;81-865;284-487-97-210;141 921 369 443;Bogurad;vydalusybonimavefagevifuvidem4mexen1gyz9qona;BB116297EDB75C0ADFD5D26CBBDFE103;1
Kasper;Okrzaś;Głogów;ul. Zbąszyńska;71070415362;1;81-449;765-55-29-280;359 813 055;Cezary;3arypixu12;809BCF063412D43EE4625353CAD8B2E6;1
Symeon;Dziemierowicz;Opole;ul. Niecała;84110210513;98;95-011;713-15-97-284;307-844-298;Auksencjusz;zid0hyp9fafovyq3bicydu;EB12C9114FAC1F2FA5CF9BC73E61B2D2;1
Oktawiusz;Wytt;Rzeszów;ul. Szklarniana;79062508645;165;39-400;938-48-78-947;+148 917-906-432;Kewin;losufyb9dalybeqahyvepokyz2purojimipezovovetebic0z;0E1CA402536DADCD2A8F743DCF8C9109;1
Marcin;Meszyński;Koszalin;ul. Bielskiego Marcina;87091423808;264;88-100;631-83-91-150;484 798 661 702;Bonifacy;nujutuh2nyvolagimufa3itur9sy;6CFA390611C99ECDCBCDDE997D73A4D2;1
Witomir;Puzerowski;Wola Gruszowska;ul. Snycerska;79101308816;213;26-400;872-13-92-218;305 654-949-312;Mamert;wafese2okev8wyq7;E2AD8E565F5095D5EC6A2FF4C6DD6573;1
Będzimir;Bałgan;Szczytniki;ul. Obrońców Helu;74082022678;164;38-300;722-883-79-15;159 946 953 654;Pafnucy;demysoniwebunuzo17kecofijesuzozup9gocolus;D85EA4B394D80F807054A9FE88FFAE80;1
Cyrus;Zyglicki;Czaplinek;ul. Lipinka;77042225580;222;60-480;702-68-53-420;964 695-039-316;Ewelin;fitypeg5jeg6dygyq0bi;F8AE6FC6DF223434064460830E440E16;1
Unisław;Muchl;Wieliczka;ul. Tatarkiewicza Władysława;78011304073;166;64-700;143-81-52-913;876-702-323;Bartłomiej;h1juvor8jivyja3arubo;7A8CE962167C4AC9831DC2D9ADBC08CF;1
Harasym;Żeniewicz;Gęby;ul. Goździków;79020803410;16;11-041;329-79-66-898;943 790 362 630;Adam;pewaxavutuzejypywa7ute6e0ijahyhicatygi;DBF90C98D96533DBF526DE7E39474800;1
Prokop;Pienta;Stary Widok;Pl. Teatralny;93070921009;27;71-499;169-68-27-261;503-863-141;Godzisz;hakudemej8syvybacaw7vyhyv3gavut;A1F69129FAB9399F64653C5712C03A12;1
Otniel;Żeweluk;Chochół;ul. Smosarskiej Jadwigi;72081104470;43;26-200;191-979-76-35;202 350 583;Czesemir;pyvi175ewiten;A02EFD6FB7F56510A0BE4162799D7EBC;1
Paweł;Dymediuk;Rybnik;ul. Gen. Bora-Komorowskiego Tadeusza;78061410142;219;06-400;785-19-88-986;+889 156483474;Żytomir;vasuguc5puhyhoci9agivoco2enamedilyhadifatonabe;78F005A7F4574522E6EC8BD325D8CE2E;1
