pk;fk_umowy;fk_stanowiska;fk_hurtownia;imie;nazwisko;miejscowosc;ulica;pesel;numer_mieszkania;kod_pocztowy;nip;numer_telefonu;drugie_imie;nazwa_uzytkownika;hashowane_haslo;zatrudnienie
1;1;8;1;Tomił;Malczka;Bielsko-Biała;ul. Rowerowa;92061816678;141;85-796;NULL;+352 730541599;Domamir;nyko3aj7lus4qakop;AF18D800CBF20FA9357EA41964E953E9;1
2;6;7;1;Sylwiusz;Wiksycz;Jelenia Góra;ul. Azalii;04251617215;253;09-230;NULL;+472 826-114-463;Bazyliusz;g05erihysadygig5lekutuxapodyjadizugegar;C857C8627F3D7A4E41276717D22167E2;1
3;17;5;1;Urlyk;Aner;Gdańsk;ul. Nowoosiedlowa;89060708336;27;58-533;177-61-27-442;681 465 743 350;Dobromierz;9ovylar3cagukydiz2joperepyvysawoq;E9B86B287CCDC2EAF0237B0B137CF929;1
4;18;5;1;Dobiemiest;Jerzowski;Lipie;ul. Warszawska;19301506384;127;09-450;333-92-78-960;556077064;Jordan;f5bet1notodiwyxovibenuki9isonyz;D565B8CABCDF1A55B4277F2DE53BFD48;1
5;4;10;1;Władysław;Wratacz;Gadów;ul. Mazowiecka;89022415087;149;16-001;NULL;137 702274515;Bertrand;qecokiqeve2ube3yfig3;33F08D9899B00C5595BAC2D201FAE51D;1
6;7;6;1;Lech;Awtomonow;Sośninka;ul. Fiołków;03211710047;50;89-240;NULL;839 711194749;Rudolf;n5waqicaqi85zy;C2BFE9A9DBBC52D4CD5206B3922F2F22;1
7;5;2;1;Marian;Lokota;Warszawa;ul. Doktora Judyma;92120405133;164;44-282;NULL;+103 347162366;Toligniew;tyrosejyguk1zawuruvukorysodib9vagacaxypog2fynagyh;728F0C6ACA5DB13BBD56823564AC778E;1
8;11;9;1;Borzymir;Połgrabski;Kozienice;ul. Pogodna;97041111813;26;14-520;NULL;114 763 156 073;Jaropełk;0y8ysefa5u;066BFB8E13DC6E803B9CA73067300373;1
9;19;3;1;Zdzibor;Szymaczak;Warszawa;ul. Galla Anonima;20303001593;265;38-200;749-776-35-58;395 501828019;Modest;zubojidoca7ivibyjys0midabygyho2ala;F47D411EF691FAFE048992AF8E1087DF;1
10;12;4;1;Sylweriusz;Ferberger;Tarnowskie Góry;ul. Heweliusza Jana;88092102622;86;98-355;NULL;847 314 729 549;Iwo;miwanahocanu0exyj3b8kowatohumo;4B0DB652697C64E76D219909E99A4324;1
11;13;2;1;Korneliusz;Ciamarczak;Warszawa;ul. Borkowskich Józefa i Stanisława;96072423197;57;65-140;NULL;970-035-937;Częstogniew;0efoqoloh2ku3irob;9B367B3CC7A9FF15B26552308033B520;1
12;15;7;1;Seweryn;Kłaszkowska;Ostrołęka;ul. Złotej Rybki;97081108750;123;98-300;NULL;776 275 689;Miłowit;1imoz8juku4ydojygilaj;7C3959468CB969E7E368EBC0AC7BCCF5;1
13;14;8;1;Morzysław;Bonzel;Leszno Górne;ul. Strumieńska;05252509442;139;07-405;NULL;924106690;Cieszygor;loraryhafodojo7ebydosofy2orybuvolep1p;9A32B8136F7F25ABFFA1A4E49AEB2DF0;1
14;3;6;1;Cyprian;Honczo;Kałużna;ul. Dębowa;81082305773;266;63-400;NULL;+819 270-352-741;Nadmir;2y049ag87yx36u2el42esen266;591A61BB9224DFA06F9DB4B74B7DBF8A;1
15;18;3;1;Jarogniew;Chyba;Krzynka;ul. Skowrońskiego Władysława;93111319640;289;16-130;522-23-38-7210;+677 549-563-748;Krzesisław;coguzehunul8x3jixapow2h;3867E150543C859DF616FF14593578DB;1
16;8;6;1;Cecyl;Kożemiaczenko;Suwałki;ul. Szkolna;95122709403;129;11-520;NULL;201-600-887;Sieciech;gyzikevujify4ajys79y;99D1BB16AF3E671F1D1028C3D35147D0;1
17;9;6;1;Borysław;Mastylarz;Radom;ul. Monte Cassino;80030405114;188;21-523;NULL;875 596972460;Floryn;jehixubuwedigihagyji4em2hikerasir2;DDF8B95DA93B42DE93F5E7FB358DA16D;1
18;2;11;1;Eustachiusz;Rejmantowska;Nowy Karolew;ul. Kisielewskiego Stefana;13231802600;190;40-759;NULL;867-758-103;Waldemar;47maw718058u7as61537k6p1b377c7k5;166E66843D0D7B3081C7BAA35D672F85;1
19;10;2;1;Siemisław;Szery;Mistrzewice;ul. Miodowa;82080307866;132;04-230;NULL;843 179-679-098;Długosz;vuj1resevocituzozy9yfavyfyjuqewa2onoje;33335C99AEDAE824E4B87C1206CFC9F5;1
20;20;6;1;Feliks;Korosiak;Rzeszów;ul. Poprzeczna;10281015727;268;60-192;NULL;150 891614010;Godfryd;g3mulege21;311D3699462DFEBC98F5366CB74602F4;1
21;21;8;2;Damazy;Boryski;Brzóza Królewska;ul. Herberta Zbigniewa;92082416565;13;68-343;NULL;+437 730 203 612;Ubysław;mywiluny59pyweg9mukiw;5DA888523071016EC924C0FCEB0581E4;1
22;26;7;2;Benicjusz;Melkner;Sępólno Krajeńskie;ul. Chałubińskiego Tytusa;73051103381;116;96-124;NULL;217618129;Długosz;kiluty067it;0AA95DB6FCBC3315838BE91B30BCB90D;1
23;37;5;2;Jan Gwalbert;Ciesielkiewicz;Wierzchowiny;ul. Osiedlowa;86052606661;212;33-170;505-486-91-94;+898 645297055;Eulogiusz;xicer7fukyq4k9simyvafalyvubytomyx;4112A7B292340A947631607D741AA734;1
24;38;5;2;Władymir;Hildobrandt;Olsztyn;ul. Polna;87122707932;297;07-410;543-545-65-66;603 192-618-080;Kandyd;jegizyty9oheruka7iqexidadujaryr8xydemitulif;5F068365E0F4921A49A9A2D395C7878A;1
25;24;10;2;Wodzisław;Perrony;Wałbrzych;ul. Nowofolwarczna;98110623033;6;26-120;NULL;412 515-558-108;Adalbert;hifim872qykufemyf;420D05FF97B351916E1AAAEF5DD158E5;1
26;27;6;2;Ramon;Jaromoń;Bodzanów;ul. Żylewicza Józefa;99050213719;180;62-660;NULL;375 810 511;Gerard;sadyteme20xucefaterab7qanerofemaxe;A82ABE9C2789E0E49D85B13F91865D5F;1
27;25;2;2;Achacy;Jachimeczko;Bielsko-Biała;ul. Staszica Stanisława;85020314922;263;27-415;NULL;972001977;Pękosław;q9fehidysuzave5yjiviga0yjuxuxu;96B8D7861E9C5821483FAEACAF4E2AD5;1
28;31;9;2;Czcisław;Pinda;Bogdanów;ul. Leśna;92021001960;211;44-207;NULL;872-220-281;Klement;f3tegyp56y;9578B9792611B8EEDFDF14FE970989F8;1
29;39;3;2;Boleczest;Pojewska;Joanin;ul. Pogodna;78012907596;168;50-156;886-925-41-31;694 719 153 192;Gaudencjusz;va6upakesukegybuduwihyharynadativun4tav3;B75C5D2BB6855E1CF2B8BFFDC9939EAC;1
30;32;4;2;Wespazjan;Wakowicz;Bronisławów;ul. Chodkiewicza Jana Karola;75021009541;194;87-335;NULL;+552 251019578;Goliat;tacovojobyh3tanatefydobiwy11w;C74D64A6BCC70B3EC0EA4016841AB7BE;1
31;33;2;2;Maciej;Brodawa;Wyrzyki;ul. Prusa Bolesława;82122319002;73;20-706;NULL;+158 808335515;Malwin;ror2myx6fafekuk2zamyp;8987F54E5FF1128B4166F8F9AAD64A20;1
32;35;7;2;Godzimierz;Hopnik;Ostrów Mazowiecka;ul. Częstochowska;89122221948;287;51-250;NULL;+145 406-079-814;Martynin;tewozepur5qol3ro5oqynizawylyg;D4798D33BCF541A0D6E48804AAD73D72;1
33;34;8;2;świętomir;Branc;Jawor;ul. Kępowa;88060317579;281;19-504;NULL;+426 144-775-324;Daniel;2aby9uq9wi;8B4B1EF8E75DB26BEF5202CDACE3178E;1
34;23;6;2;Sierosław;Badych;Piekary śląskie;ul. Rzeźniana;80012518687;275;02-226;NULL;920597891;Herbert;jyqa06mi9axamiwyvydodyk;1CB88EA63626FBB07B94F0AE4B71E20D;1
35;38;3;2;Nadbor;Machan;Radostowo;ul. Miedza;83070715427;154;78-331;119-61-86-592;+750 927-854-678;Lew;m5m8nijoqi1;59AC389B0DD93D6BD77462853E621DBD;1
36;28;6;2;Chociemir;Roszczyński;Rożubowice;ul. Laudańska;86071409014;273;41-608;NULL;169 823 827 480;Gościsław;g8523u74x0565y946u7042k5b84i0i;5857E5EBDA1580C99081312395979350;1
37;29;6;2;Taras;Konserska;Rzeszów;Pl. Pokoju;71121109932;203;42-421;NULL;765-235-853;Jarogniew;coxaga122esuqosocugokucobotuzufivororam;D935B23F28DD486FA4F2CB87AADEBDEA;1
38;22;11;2;Ewaryst;Kunadt;Olsztyn;ul. Volty Aleksandra;91062611886;97;26-803;NULL;371 909-220-093;Marek;fon1si1api3;999B380C1FCFC70C64F7D4AD0A10115E;1
39;30;2;2;Axel;Palasik;Gaæ;ul. Pasażerska;76121209736;139;43-190;NULL;284 284971782;Jacenty;8ykedytywepisaxazatesy0e7ody;FDD9ACB8CA000CF2EEF3BDBA5EBE7FD8;1
40;40;6;2;Ruprecht;Kasongo;Wara;ul. Padlewskiego Zygmunta (Generała Zygmunta Padlewskiego);89031815933;44;74-110;NULL;406 658 639 784;Epifan;b4cimaz1domohizokaqar4;A122EEF6DFF7694CB21EDDBB2B970E58;1
41;41;8;3;Radomysł;Kanorska;Michałowo;ul. Fabryczna;92071218228;4;00-268;NULL;288-036-361;Sewer;juw5z0zu9omojacanyle;D42B751118F4176D4FD0A52B2615E2BC;1
42;46;7;3;Emeryk;Ołata;Bierwiecka Wola;ul. Orzeszkowej Elizy;99050120910;161;07-106;NULL;+221 248-179-011;Domasław;c7gy7efoc8j;15DBB1DF1C56203C6F2771C11277BEDF;1
43;57;5;3;Biernat;Horbst;Czeladź;ul. Dębowa;71071409409;216;88-200;558-841-82-92;227142254;Wespazjan;mygydufizor3tol61imasatixyfifuvutyc;AB6A390DD0902FDDC0DC883CAA73F0EB;1
44;58;5;3;Aron;Kiember;Łódź;ul. Fredry Aleksandra;88091017716;24;08-304;746-569-32-14;+414 289 449 149;Sebald;pygylado7eh2ribifilifocevamovuj5vavobazire;2DD8AB1F2E53C2511C27FE6C7428824B;1
45;44;10;3;Mamert;Bulak;Kobylnica;ul. Bławatkowa;87110722552;70;44-100;NULL;+989 705452362;Kalasanty;zabisopabujolijonicamefikixo5ylan4ked2b;63EF7C86514B5500BD57BBED98AD5CAA;1
46;47;6;3;Strzeżywoj;Chwołka;Rąpice;ul. Polska;93103003319;204;93-479;NULL;336-221-858;Chociesław;bura6yw6qek7pet;E879976510399D6C81C756F9A1181485;1
47;45;2;3;Żyrosław;Kodran;Kraków;ul. Papiernicza;81040502574;14;26-920;NULL;+935 659816550;Jordan;qynafubododaty8egoquxysyjoxu7ulyxape9yzoze;8BAA44B43C32C941FE83B5B8FEBC7475;1
48;51;9;3;Charyzjusz;Bieluszewski;Łódź;ul. Na Skarpie;88030805460;253;07-401;NULL;103813549;Dobiegniew;monyp6j9necodihagolof3;79C6357B3A9F0F452FD86F6072CE0210;1
49;59;3;3;Irwin;Stąborowski;Warszawa;ul. Łódzka;89111823171;56;86-320;601-52-91-834;+564 272383271;Włościbor;vefakov64unud3pu;139619CCB50E74A951493FEB06C7D280;1
50;52;4;3;Irydion;Mesiarz;Poznań;ul. Biegusa;81072208266;224;41-902;NULL;489640081;Władymir;pek80uraf2tedehymolalaryfyw;2880EF20188A7E24B5A09FD3D76E0187;1
51;53;2;3;Arystarch;Bolkesz;Bydgoszcz;ul. Chłodna;82020121415;295;41-902;NULL;+907 412-306-286;Rufin;9yz04aj41a81ny;C607B513821C78BBC05979E0A65B2593;1
52;55;7;3;Benicjusz;Piśkorz;Bogatynia;ul. Skargi Piotra (Księdza Piotra Skargi);88041908811;255;93-493;NULL;343 557744090;Matron;wocalyqixuxy1eqehi8il2hakeqir;285B5869407573DAA18DAA82CB11A98B;1
53;54;8;3;Niezamysł;Zahorbeński;Wrocław;ul. Samulowskiego Andrzeja;83100701402;112;41-219;NULL;+657 132 247 447;Ruben;bu8ukivo3i5ixyl;DDE3951395A5235B586F21E1E7993067;1
54;43;6;3;Cieszymysł;Otyszecki;Mireń;ul. Garncarska;80051120306;18;62-220;NULL;806 724 391 021;Florentyn;holabo9aqiw0nus3hifariwesavufa;D55972D17ED177334FC5D751D81986D6;1
55;58;3;3;Jan Gwalbert;Paradziej;Grabin;ul. Asnyka Adama;79112321020;277;56-210;859-31-49-985;+568 593 416 069;Dionizy;sifosotixerawozacytutyxizyza8asijesa1ixa2ih;0A1994FDB593C0813B595C2C61CA8FBB;1
56;48;6;3;Oktawiusz;Drezel;Olkusz;ul. Malskiej Florentyny;75090412574;201;26-330;NULL;+731 736902281;Bolebor;zytopako4ibofuloj9mawyromu8yhiruxypobejezawahy;F35B8603A955A10F1B76876738301853;1
57;49;6;3;Abraham;Ajdocka;Tarnowskie Góry;ul. Sucharskiego Henryka (Majora Henryka Sucharskiego);72122614023;125;07-214;NULL;191 410 402;Ignacy;xeciva8ijitarasepugifepuvecup8c5;30FC9CCBD989B43007B9B1F8AF492E05;1
58;42;11;3;Ronald;Tąpała;Tychy;ul. Piwna;91061105999;156;80-299;NULL;527 335 287;Andrzej;ty2ozohabohon1hybyrinerofyb8tykyqic;7FEFF98C5066283E6281F26C3B97AB9C;1
59;50;2;3;Ziemisław;Rejmenowska;Pniewy;ul. Żółkiewskiego Stanisława;96080412677;1;87-810;NULL;194 536 509;Hugo;wepizu9yp0cu0;D50F57121AD95E439091AAFB47A36DCB;1
60;60;6;3;Gabor;Makaro;Mchowo;ul. Piaskowa;84121112600;280;99-311;NULL;+687 839125773;Festus;dyxykokez3perysyfad20yw;C149A6F1DAB10E902E856C79AFF6B23A;1
61;61;8;4;Niemir;Potasiewicz;Bielsko-Biała;ul. Jaskółcza;77021210321;259;43-600;NULL;553 737-738-604;Karol;socarol3viby8ikanysiviluwyzuqoxihugikasony0us;657BE786C900386237450771FB818A9D;1
62;66;7;4;Leonard;Zammerfeld;Niemiecka Wieś;ul. Obrońców Helu;92050922667;160;42-100;NULL;+584 661-964-848;Burchard;caxapifup5vazige7ihonitynotibubyruqyj9xury;D5E4DAA216EF01A47F584CB68535CB8F;1
63;77;5;4;Goliat;Potażek;Katowice;ul. Krzywa;71121503354;130;27-350;386-194-61-710;449 711347622;Ziemowit;keq1mi4ym7luhocyx;8A42A7B8C0D5701F900E8AAC6A651DCE;1
64;78;5;4;Filip;Żebrakowski;Ruda śląska;ul. Kościuszki Tadeusza;85011517231;112;86-010;881-851-24-51;+215 188-240-270;Julian;mevamigeb3nukaretalodetototur8gagosuz9;6D530C185831285944682646C6D955E1;1
65;74;10;4;Chrystian;Malejonek;Gnatowo;ul. Mylna;80062617343;163;05-802;NULL;693456585;Innocenty;hylezoca6urekarewezaq69ej;2E075BFAF68483FC0166824BC4549DEE;1
66;67;6;4;Odyseusz;Mirułowski;Rudziska;ul. Junaków;86032214242;236;36-245;NULL;+637 725 499 943;Eberhard;tijekus6b1ryle2isow;33980C5CC4AEBF4476DE86A049A80E5F;1
67;65;2;4;Bertrand;Łędzich;Rzeszów;ul. Orzeszkowej Elizy;71061416064;30;38-441;NULL;+897 280392406;Alf;toxuwakohubikucy1ofefepib1mipy9y;7A883FDA71F4B2968D478B7998B880D5;1
68;71;9;4;Wierzchosław;Badziński;Wierzyki;ul. Czołowa;82072513620;82;81-865;NULL;141 921 369 443;Bogurad;vydalusybonimavefagevifuvidem4mexen1gyz9qona;BB116297EDB75C0ADFD5D26CBBDFE103;1
69;79;3;4;Kasper;Okrzaś;Głogów;ul. Zbąszyńska;71070415362;1;81-449;765-55-29-280;359 813 055;Cezary;3arypixu12;809BCF063412D43EE4625353CAD8B2E6;1
70;72;4;4;Symeon;Dziemierowicz;Opole;ul. Niecała;84110210513;98;95-011;NULL;307-844-298;Auksencjusz;zid0hyp9fafovyq3bicydu;EB12C9114FAC1F2FA5CF9BC73E61B2D2;1
71;73;2;4;Oktawiusz;Wytt;Rzeszów;ul. Szklarniana;79062508645;165;39-400;NULL;+148 917-906-432;Kewin;losufyb9dalybeqahyvepokyz2purojimipezovovetebic0z;0E1CA402536DADCD2A8F743DCF8C9109;1
72;75;7;4;Marcin;Meszyński;Koszalin;ul. Bielskiego Marcina;87091423808;264;88-100;NULL;484 798 661 702;Bonifacy;nujutuh2nyvolagimufa3itur9sy;6CFA390611C99ECDCBCDDE997D73A4D2;1
73;74;8;4;Witomir;Puzerowski;Wola Gruszowska;ul. Snycerska;79101308816;213;26-400;NULL;305 654-949-312;Mamert;wafese2okev8wyq7;E2AD8E565F5095D5EC6A2FF4C6DD6573;1
74;63;6;4;Będzimir;Bałgan;Szczytniki;ul. Obrońców Helu;74082022678;164;38-300;NULL;159 946 953 654;Pafnucy;demysoniwebunuzo17kecofijesuzozup9gocolus;D85EA4B394D80F807054A9FE88FFAE80;1
75;78;3;4;Cyrus;Zyglicki;Czaplinek;ul. Lipinka;77042225580;222;60-480;702-68-53-420;964 695-039-316;Ewelin;fitypeg5jeg6dygyq0bi;F8AE6FC6DF223434064460830E440E16;1
76;68;6;4;Unisław;Muchl;Wieliczka;ul. Tatarkiewicza Władysława;78011304073;166;64-700;NULL;876-702-323;Bartłomiej;h1juvor8jivyja3arubo;7A8CE962167C4AC9831DC2D9ADBC08CF;1
77;69;6;4;Harasym;Żeniewicz;Gęby;ul. Goździków;79020803410;16;11-041;NULL;943 790 362 630;Adam;pewaxavutuzejypywa7ute6e0ijahyhicatygi;DBF90C98D96533DBF526DE7E39474800;1
78;62;11;4;Prokop;Pienta;Stary Widok;Pl. Teatralny;93070921009;27;71-499;NULL;503-863-141;Godzisz;hakudemej8syvybacaw7vyhyv3gavut;A1F69129FAB9399F64653C5712C03A12;1
79;70;2;4;Otniel;Żeweluk;Chochół;ul. Smosarskiej Jadwigi;72081104470;43;26-200;NULL;202 350 583;Czesemir;pyvi175ewiten;A02EFD6FB7F56510A0BE4162799D7EBC;1
80;80;6;4;Paweł;Dymediuk;Rybnik;ul. Gen. Bora-Komorowskiego Tadeusza;78061410142;219;06-400;NULL;+889 156483474;Żytomir;vasuguc5puhyhoci9agivoco2enamedilyhadifatonabe;78F005A7F4574522E6EC8BD325D8CE2E;1
81;81;8;5;Bazyli;Libus;Warszawa;ul. Źródlana;95010523964;100;66-615;NULL;+416 431 775 586;Dzierżykraj;f9r6sebom8;820AA8B5568CB5BBACA27CA7D6219B51;1
82;86;7;5;Budzimir;Spiołek;świerże;ul. Jesienna;97043007169;231;05-320;NULL;565 205945564;Galezy;foz3racowoderydanygelyqobucikomevi9eqot7jymos;78D1F626D3F47E100DE10A763D2138AE;1
83;97;5;5;Natan;Wells;Opole;ul. Plebiscytowa;83022613353;23;00-654;421-277-67-30;+496 519 610 375;Zdobysław;mi8ujozenoxehifiqyviciqadisi2agemebyjyzulin1;DB31ADDC156A73A9D12D5A8548EDE7C1;1
84;98;5;5;Mieczysław;Szawiała;Jasło;ul. Reymonta Władysława;82052324239;296;06-121;231-617-48-31;113 853 473 066;Prochor;zipujuj6fofycame48xyfofynebitefahamuhego;DAE2043013B0945D9EC2162FCA342261;1
85;84;10;5;Strzeżywoj;Maszner;Grodzisk Mazowiecki;ul. Bonifraterska;94080808964;79;39-230;NULL;+496 948 796 151;Zygfryd;617u44si913u75t70333622o3ah35uveg576967686m070;ECA1D8A3DD63B648270088E660FCD065;1
86;87;6;5;Siemirad;Gieroni;Bielsko-Biała;ul. Pielęgniarek;88111102093;288;01-678;NULL;+837 996498494;Tymoteusz;g0siwotekamubenixuno5ic1docag;AB36BF74278BC6C5F09E7A4A1117AD94;1
87;85;2;5;Niemir;Sierzań;Warszawa;ul. Rudnickiego Mikołaja;75032221215;103;78-100;NULL;223 724 332;Bertram;5ibyc3l2rivu;BC4AAA7CB67382018E432374CE9D098B;1
88;91;9;5;Czechasz;Petkow;Wilkowa Wieś;ul. Jastrzębowskiego Wojciecha Bogumiła;85040310449;224;13-324;NULL;730 111 531;Jan Kanty;5exukocaxerupiza30zoxahodulyxytoro;AC66C9CBE5922A99D52F5A06960A8DEE;1
89;99;3;5;Machabeusz;Placuk;Zielona Góra;ul. Żytnia;85071816633;201;85-677;964-14-21-361;404 336 159;Hermes;0oxij5qu7i;BFCF1CD22B19E56C7CB4B786F520C86C;1
90;92;4;5;Wisław;Marenicz;Ostrołęka;ul. Wesoła;73051812115;40;37-630;NULL;470 170 965 018;Adolf;37263040g08581496141785045vu72823542101;52F6067D881F719A28431E3128E6F1AF;1
91;93;2;5;Natan;Tobołowska;Lublin;Pl. 1905 Roku;81100902984;175;20-400;NULL;600-431-485;Cyprian;gece9u8ewi7epaqafo;D105A6E7DD249E3747A11CED33EA0BBA;1
92;95;7;5;świeciech;Wałkuski;Krypno Wielkie;ul. Staszica Stanisława;81031500280;130;25-653;499-65-32-413;+364 345 583 274;Jacław;qij4roxuq2tewolopowakeqesuvyt3hohyjugir;A2A2156AD5D037EC32BF131FC20C4E71;1
93;94;8;5;Berno;Niemow;Górne Maliki;ul. świętego Sebastiana;74041722896;134;78-100;NULL;+460 958992929;Narcyz;wuxalobedywipydiqurajeqaz8vylidob4noryqac8nibo;4C7D3829DD4C6E666DB56DEDA2959C61;1
94;83;6;5;Amon;Dawidow;Wrocław;ul. Zamkowa;79012916229;133;10-687;NULL;793019380;Emil;jax33ovobuxuxyrukemawo4ylamitewyh;48335352BDCD2E818B0E194226455C73;1
95;98;3;5;Waleriusz;Hohlfeld;Wrocław;ul. Szafrana Tadeusza;79011003023;276;80-175;438-31-32-264;+800 779-324-631;Prudencjusz;puhapefa4anisebakejaxo3ivaq6foz;10E4EF2A9C0D8ADBDBC017077F859187;1
96;88;6;5;Uniedrog;Predynkiewicz;Giedajty;ul. Madera;94122809830;29;57-150;NULL;371357854;Częstogniew;4on6towymi5abafu;DB5D7281D9F2D80A438F17C893F41CD1;1
97;89;6;5;Czechasz;Schurma;Katowice;ul. Wileńska;88071206110;272;09-110;NULL;822 354 661 902;Egon;65330735598366375699p;24AD8F30820FFC6338F707B1D98A9F5B;1
98;82;11;5;Uniemysł;Szamowski;Chojęcin;ul. Rychla Jana;79050309629;165;19-104;NULL;913 135-440-474;Amedeusz;tizujerohuginylyj8me04vogyj;D6C176CA6BC8DF6CF2886B5E20008A55;1
99;90;2;5;Paweł;Zuzak;Biały Grunt;ul. Długa;96071206610;221;14-200;NULL;640-748-791;Marcjal;fa08huroqizuvybi6ojo;886CA4AA9E2A4298B63FAF61A85B86EA;1
100;100;6;5;Agatonik;Grabus;Gdańsk;ul. Brzoskwiniowa;95122123685;252;80-003;NULL;+191 353565598;Salwator;repoxedy8adetar2w0zevy;D4F9D4C56982EB7D2107125A68152A16;1
101;101;8;6;Demetriusz;Rakaszewska;Koszarsko;ul. Moniuszki Stanisława;78081013682;33;08-110;NULL;364787260;Cecylian;limomyzen2copojekek8fonaf5no;B41A7099EE4CEB1BA8352BB517527CD8;1
102;106;7;6;Tomasz;Perelson;Warszawa;ul. Leszków;86101514282;30;98-240;NULL;+677 498-606-995;Tyburcjusz;ramikyhyke2ugano6eqihur6nefyt;4F12D26928C5A7CDF706DF02CB54E7C0;1
103;117;5;6;Renat;Medau;Skupowo;ul. Szczepowa;83033114151;230;43-430;921-154-83-20;454 747486723;Wielisław;majobuhyluda3oxodysohijon63enohe;731B8DE96F0DEF6D7744D043A31D92C2;1
