pk;fk_stanowiska;fk_umowy;fk_hurtownie;imie;nazwisko;miejscowosc;ulica;pesel;numer_mieszkania;kod_pocztowy;nip;numer_telefonu;drugie_imie;nazwa_uzytkownika;hashowane_haslo;zatrudnienie
1;8;1;1;Tomił;Malczka;Bielsko-Biała;ul. Rowerowa;92061816678;141;85-796;;902-533-382;Domamir;nyko3aj7lus4qakop;AF18D800CBF20FA9357EA41964E953E9;true
2;7;6;1;Sylwiusz;Wiksycz;Jelenia Góra;ul. Azalii;04251617215;253;09-230;;240-945-842;Bazyliusz;g05erihysadygig5lekutuxapodyjadizugegar;C857C8627F3D7A4E41276717D22167E2;true
3;5;17;1;Urlyk;Aner;Gdańsk;ul. Nowoosiedlowa;89060708336;27;58-533;177-61-27-442;204-759-687;Dobromierz;9ovylar3cagukydiz2joperepyvysawoq;E9B86B287CCDC2EAF0237B0B137CF929;true
4;5;16;1;Dobiemiest;Jerzowski;Lipie;ul. Warszawska;19301506384;127;09-450;333-92-78-960;772-535-847;Jordan;f5bet1notodiwyxovibenuki9isonyz;D565B8CABCDF1A55B4277F2DE53BFD48;true
5;10;4;1;Władysław;Wratacz;Gadów;ul. Mazowiecka;89022415087;149;16-001;;749-324-834;Bertrand;qecokiqeve2ube3yfig3;33F08D9899B00C5595BAC2D201FAE51D;true
6;6;7;1;Lech;Awtomonow;Sośninka;ul. Fiołków;03211710047;50;89-240;;483-101-388;Rudolf;n5waqicaqi85zy;C2BFE9A9DBBC52D4CD5206B3922F2F22;true
7;2;5;1;Marian;Lokota;Warszawa;ul. Doktora Judyma;92120405133;164;44-282;;766-228-167;Toligniew;tyrosejyguk1zawuruvukorysodib9vagacaxypog2fynagyh;728F0C6ACA5DB13BBD56823564AC778E;true
8;9;11;1;Borzymir;Połgrabski;Kozienice;ul. Pogodna;97041111813;26;14-520;;858-129-070;Jaropełk;0y8ysefa5u;066BFB8E13DC6E803B9CA73067300373;true
9;3;19;1;Zdzibor;Szymaczak;Warszawa;ul. Galla Anonima;20303001593;265;38-200;749-776-35-58;306-401-514;Modest;zubojidoca7ivibyjys0midabygyho2ala;F47D411EF691FAFE048992AF8E1087DF;true
10;4;12;1;Sylweriusz;Ferberger;Tarnowskie Góry;ul. Heweliusza Jana;88092102622;86;98-355;;824-669-839;Iwo;miwanahocanu0exyj3b8kowatohumo;4B0DB652697C64E76D219909E99A4324;true
